省	市	区	地址
北京市	北京市	龙潭区	崇文区龙潭区医院
湖北省	武汉市	蔡甸区	中医院
湖北省	武汉市	黄陂区	中医院
湖北省	孝感市	汉川市	中医医院
新疆维吾尔自治区	阿克苏地区	沙雅县	维吾尔医院
河南省	三门峡市	渑池县	人民医院
辽宁省	铁岭市	铁岭市协和医院	
四川省	自贡市	鸿鹤医院	
宁煤石炭井医院			
黑龙江省	哈尔滨市	五常市	协和医院
新疆维吾尔自治区	塔城地区	自治区塔城地区沙湾同德医院	
澄西船厂职工医院			
天津市	天津市	津市市	宁河县宁河医院
天津市	天津市	津市市	滨海医院
云南省	武警边防总队医院		
陕西省	西安市	长安友谊医院	
云南省	巍山彝族回族自治县人民医院		
四川省	成都市	木综厂职工医院	
四川省	内江市	隆昌市	县中医医院
平潭康家医院			
湖南省	郴州市	资兴市	东江木材厂职工医院
山西省	运城市	绛县	国营红山机械厂职工医院
云南省	昆明市	官渡区	中医院
山西省	运城市	河津市	中医医院
浙江省	杭州市	上城区	横河医院
湖南省	郴州市	永兴华康医院	
湖南省	郴州市	资兴市	宝源医院
甘肃省	定西市	漳县	中医医院
辽宁省	沈阳市	康平县	第二医院
甘肃省	第二人民医院红山根分院		
湖南省	郴州市	安仁县	宜康医院
辽宁省	大连市	武警辽宁总队大连医院	
四川省	凉山彝族自治州	第一人民医院马道分院	
广东省	湛江市	雷州市	中医院
河南省	焦作市	沁阳市	中国红十字会沁阳医院
江苏省	无锡市	江阴市	申港医院
广西壮族自治区	人民医院邕武医院		
吉林省	吉林市	丰满区	红旗医院
广西壮族自治区	贺州市	八步区	西湾工人医院
广东省	阳江市	阳春市	监狱医院
广东省	惠州市	惠斌医院	
吉林省	吉林市	石油集团职工总医院新立分院	
云南省	昭通市	大关县	中医医院
四川省	达州市	通川区	人民医院
海南省	国营乐光农场医院		
从化市鳌头镇医院			
国营第七三三厂职工医院			
国营第540厂职工医院			
山西省	运城市	稷山县	正身医院
山东省	济南市	和平医院历山路102号	
吉林省	吉林市	单氏中医院	
北京市	北京市	慈铭健康体检管理集团股份有限公司北京亮马桥医院	
海南省	阳江市	国营阳江农场医院	
黑龙江省	二九零农场职工医院		
福建省	福州市	福清市	监狱医院
福建省	南平市	浦城县	新华医院
福建省	福州市	二化医院	
黑龙江省	伊春市	铁力市	第二中医院
开县康桥医院			
新疆维吾尔自治区	喀什地区	同和医院	
广东省	广州市	第一直属医院	
青海省	果洛藏族自治州	班玛县	果洛州班玛县人民医院
安徽省	淮南市	第一人民医院西院	
广东省	惠州市	东华医院	
山西省	晋中市	太谷县	红十字慈济医院
贵州省	职工医院		
四川省	成都市	军大医院	
黑龙江省	红光糖厂职工医院		
山东省	青岛市	生建机械厂医院	
福建省	龙岩市	武平县	仁济医院
宁夏回族自治区	吴忠市	青铜峡市	人民医院青镇分院
山西省	临汾市	襄汾县	温泉医院
陕西省	渭南市	白水县	中医医院
辽宁省	大连市	鞍钢矿山公司大连医院	
河南省	开封市	高压阀门有限公司职工医院	
山西省	大同市	和合医院	
天津市	天津市	津南荣城中医医院	
河北省	沧州市	沧县	中医院
江苏省	扬州市	仪征市	第二人民医院
黑龙江省	嘉荫农场职工医院		
河北省	保定市	竞秀区	医院
江苏省	扬州市	邗江国建医院	
中国人民解放军北部战区总医院和平院区			
广西壮族自治区	丽水市	龙泉市	山医院
浙江省	嘉兴市	桐乡市	中医院
中国人民解放军联勤保障部队第九八二医院			
山西省	长治市	钢铁集团公司职工总医院	
香港特别行政区	香港特别行政区	北区	西南大学北区校医院
新疆维吾尔自治区	乌鲁木齐市	明德医院（有限公司）（新疆维吾尔自治区人民医院第一附属医院南门分院）	
天津市	天津市	河东益尔康达医院	
四川省	成都市	温江区	恵民医院
广东省	广州市	新时代医院	
广东省	广州市	番禺中医院	
海南省	中国人民解放军总医院海南医院		
宁夏回族自治区	吴忠市	民族医院	
辽宁省	沈阳市	辽中县近海济康医院	
浙江省	杭州市	复旦医院有限公司	
山东省	潍坊市	医学院附属医院	
鲁中冶金矿业集团公司医院			
河北省	天津市	华建医院	
贵州省	中建医院		
四川省	成都市	邛崃市	福利医院
黑龙江省	哈尔滨市	友谊泌尿医院	
江苏省	连云港市	国泰医院	
河南省	安阳市	文峰区	第二人民医院
江苏省	泰州市	姜堰区	蒋垛人民医院
江苏省	泰州市	姜堰区	兴泰公立医院
内蒙古自治区	航天医院		
湖南省	常德市	第一中医院白马湖分院	
河北省	承德市	鹰手营子矿区	营兴人民医院
河南省	郑州市	黄河科技学院附属医院	
绥棱林业局医院			
博罗博惠中医医院			
北京市	北京市	高科医院	
甘肃省	庆阳市	第一医院	
黑龙江省	哈尔滨市	九龙医院	
吉林省	通化市	柳河县	医院
武进人民医院高新院区			
内蒙古自治区	包头市	淞雅医院	
山东省	淄博市	世博医院	
武进湟里医院			
上海市	上海市	彭江医院	
上海市	上海市	徐汇区	民办瑞星医院
浙江省	宁波市	慈溪市	第一医院慈溪医院（龙山医院）
中江博爱医院			
辽宁省	沈阳市	新民市	中医院
河南省	信阳市	中国人民解放军联勤保障部队第九九〇医院154信阳院区	
广东省	珠海市	禅诚医院	
山东省	青岛市	北华夏医院	
辽宁省	沈阳市	于洪区	汇康医院
贵州省	遵义市	湄潭家礼医院	
山东省	烟台市	新凤凰医院	
吉林省	长春市	康林心理医院	
吉林省	长春市	汽车经济技术开发区西湖医院	
山东省	市立医院控股集团第三医院有限公司		
中国人民解放军第一四六医院			
广西壮族自治区	柳州市	三江侗族自治县	中医医院
安徽省	淮北市	矿业集团矿工总医院	
中国水利水电第十二工程局医院			
陕西省	宝鸡市	第五人民医院	
广东省	佛山市	顺德碧桂园医院	
天津市	天津市	南开晟佳联合医院	
新疆维吾尔自治区	阿克苏地区	阿克苏市	农一师一团医院
重庆市	重庆市	九龙监狱医院	
山东省	临沂市	郯城现代医院	
山东省	济宁市	邹城市	红十字会至诚医院
山东省	泰安市	新泰市	博爱医院
黑龙江省	齐齐哈尔市	建华区	中医院
吉林省	长春市	南关区	医院
香港特别行政区	香港特别行政区	北区	中国人民解放军空军第九八六医院北区
内蒙古自治区	阿拉善盟	额济纳旗	中蒙医院
金平苗族瑶族傣族自治县人民医院			
天津市	天津市	津市市	津城中医医院
安徽省	国营龙亢农场医院		
湖南省	益阳市	安化县	东坪镇医院
北京市	北京市	第一轻工业总公司医院	
河北省	邢台市	沙河市	明华医院
河北省	邢台市	沙河市	留村医院
新疆维吾尔自治区	生产建设兵团农五师八十二团职工医院		
浙江省	杭州市	天目山医院	
天津市	天津市	河西华津医院有限公司	
云南省	昆明市	西山区	第三人民医院依兰分院
陕西省	宝鸡市	有色金属加工厂职工医院	
安徽省	淮南市	矿业集团有限责任公司第一矿工医院	
河北省	黑河市	北安市	安平中医院
陕西省	商洛市	洛南县	中医医院
安徽省	池州市	百信医院	
上海市	上海市	东方市	医院集团宿迁分院
黑龙江省	伊春市	汤旺河区	林业局职工医院
云南省	开关厂职工医院		
云南省	楚雄彝族自治州	楚雄市	中医医院北浦医院
黑龙江省	佳木斯市	大学宏大医院	
河北省	邯郸市	国网河北省电力公司邯郸供电分公司电力医院	
河北省	保定市	容城县	中医医院
江苏省	南通市	如皋市	磨头中兴医院
山东省	临沂市	兰陵县	文峰山人民医院
河北省	保定市	风帆集团有限责任公司职工医院	
安徽省	宣城市	郎溪县	第二人民医院
北京市	北京市	健永圣杰科技有限公司医院	
陕西省	宝鸡市	卷烟厂职工医院	
安徽省	工业大学校医院		
安徽省	池州市	贵池区	殷汇康民医院
重庆市	重庆市	长城医院	
酉阳土家族苗族自治县中医院			
天津市	天津市	西青桂生堂医院	
四川省	宜宾市	威信仁安医院	
四川省	宜宾市	第四人民医院A区	
福建省	莆田市	湄洲岛红十字医院	
山西省	太原市	古交市	中医医院
江苏省	无锡市	新区硕放医院	
平遥康益医院			
四川省	武警四川省总队医院		
延边朝医医院			
山东省	青岛市	太博医院	
云南省	昆明市	医科大学第一附属医院呈贡分院	
江苏省	宿迁市	宿豫区	晓店镇医院
四川省	南充市	顺庆区	第一人民医院
北京市	北京市	首钢特殊钢泰康医院	
四川省	广安市	中国中医研究院广安门医院	
辽宁省	抚顺市	信托医院	
湖南省	益阳市	赫山区	人民医院
北京市	北京市	丰台区	医院桥南部
北京市	北京市	首都医科大学附属北京市地坛医院	
辽宁省	营口市	人民医院	
辽宁省	铁岭市	康华内分泌医院	
山西省	阳泉市	煤业(集团)有限责任公司总医院一矿医院	
广东省	清远市	英德市	南华医院
山东省	滨州市	邹平市	县康平医院
北京市	北京市	首都医科大学附属北京市中医医院	
辽宁省	朝阳市	凌源市	监狱管理分局中心医院
吉林省	武警吉林省总队医院		
吉林省	一汽总医院		
云南省	小龙潭矿务局医院		
河南省	周口市	魏氏医院	
吉林省	白城市	洮南市	医院
中国人民解放军209医院			
四川省	达州市	宣汉县	达宣汉县第二人民医院
天津市	天津市	津市市	区大港区社区医院
中国人民武装警察部队特色医学中心			
天津市	天津市	津市市	电力医院
云南省	曲靖市	仁和医院	
吉林省	长春市	朝阳区	桂林医院
广西壮族自治区	医大学开元埌东医院		
浙江省	绍兴市	柯桥区	滨海医院马鞍分院
圩塘医院			
复旦大学附属华山医院西院			
浙江省	衢州市	衢江区	中医医院
黑龙江省	牡丹江市	东宁市	中医院
黑龙江省	兴隆林业局职工第一医院		
黑龙江省	852农场职工医院		
四川省	宜宾市	长宁县	舒康医院
云南省	昭通市	振华医院	
山西省	忻州市	原平市	中医院
云南省	文山壮族苗族自治州	文山市	州人民医院二院
天津市	天津市	通信广播集团有限公司通广医院	
中国耀华玻璃集团公司医院			
苇河林业局医院			
黑龙江省	齐齐哈尔市	第二机床厂职工医院	
黑龙江省	鸡西市	医集团东县人民医院	
湖南省	长沙市	第一医院北院	
山东省	临沂市	红旗医院	
开滦(集团)有限责任公司医疗集团赵各庄医院			
新疆维吾尔自治区	石河子市	农八师148团医院	
兖矿集团公司总医院分院			
新疆维吾尔自治区	伊犁兵团农四师六十七团医院		
山西省	运城市	战军中医医院	
新疆维吾尔自治区	生产建设兵团农五师八十七团医院		
山东省	济南市	中国石化集团济南炼油厂职工医院	
上海市	上海市	长宁区	程家桥地段医院
山西省	阳泉市	盂县	中医医院
山西省	朔州市	右玉县	医疗集团人民医院
河南省	许昌市	县中医院医院	
河南省	郑州市	新郑市	烟厂职工医院
河南省	郑州市	客运公司职工医院	
上海市	上海市	中国人民解放军第411医院	
复旦大学校医院			
江苏省	苏州市	昆山市	广慈医院
山西省	运城市	卫校附属医院	
山西省	运城市	红十字会医院	
新疆维吾尔自治区	伊犁曙光医院		
北京市	北京市	中国民族卫生协会北京崇文英平医院	
中铁大桥局集团第六工程有限公司职工医院			
上海市	上海市	沪东造船集团职工医院	
上海市	上海市	南汇区光明中医院	
山西省	吕梁市	交城县	人民医院
内蒙古自治区	呼和浩特市	武川县	医院
内蒙古自治区	赤峰市	宁城县	医院
内蒙古自治区	赤峰市	巴林左旗	中蒙医院
内蒙古自治区	通辽市	扎鲁特旗	人民医院
内蒙古自治区	通辽市	科尔沁区	职工基本医疗保险医院
广东省	清远市	英德市	慢性病防治医院
中国人民解放军九一三二九部队后勤部医院			
武功蓝天医院			
中国航空工业总公司第六0三研究所职工医院			
安徽省	合肥市	中国科学院合肥物质科学研究所职工医院	
上海市	上海市	嘉定区	中医医院
内蒙古自治区	通辽市	科尔沁区	第一人民医院
内蒙古自治区	兴安盟	蒙医院	
中国人民武装警察部队总医院			
北京市	北京市	红十字会丰台长峰医院	
郾城县公益医院			
山东省	威海市	立第二医院南院区	
湖南省	郴州市	宜章县	瑶岗仙钨矿职工医院
辽宁省	营口市	经济技术开发区望海医院	
黑龙江省	伊春市	美溪区	中医院
山西省	忻州市	忻府区	同济医院
黔江协和医院			
且末维吾尔医院			
新疆维吾尔自治区	乌鲁木齐市	新华山医院	
陕西省	咸阳市	耀华医院	
山东省	东营市	胜利油田钻井医院	
河北省	秦皇岛市	柳江医院	
山东省	东营市	西郊医院	
福建省	厦门市	金尚医院	
山东省	东营市	友好医院	
浙江省	台州市	路桥广济医院	
山西省	太原市	中医肝病医院有限公司	
新疆维吾尔自治区	克拉玛依市	阿克苏市	白水医院
山东省	菏泽市	成武红十字会医院	
陕西省	咸阳市	三原县	新中医医院西院
山东省	东营市	华东中医院	
湖南省	怀化市	通道侗族自治县	民族中医医院
山东省	济南市	明仁医院	
陕西省	咸阳市	秦都区	第一人民医院
铜山县沿湖医院			
吉林省	通化市	梅河口市	第二人民医院
广东省	梅州市	新粤医院	
天津市	天津市	津市市	区大港区电厂医院
陕西省	渭南市	国营陕西大荔农场职工医院	
上海市	上海市	第三十五棉纺织厂职工医院	
云南省	临沧市	临翔区	中医院
湖北省	武汉市	当代佳丽中西医结合医院	
内蒙古自治区	巴彦淖尔市	五原县	仁爱医院
山西省	运城市	稷山县	优抚医院
辽宁省	中医药学会兴华中医院		
江苏省	无锡市	欣新医院	
唯亭人民医院			
内蒙古自治区	锡林郭勒盟	苏尼特左旗	蒙医医院
山西省	中医院胜利分院		
陕西省	西安市	三秦医院	
陕西省	西安市	红十字会医院中西医结合分院	
宁夏回族自治区	国营渠口农场职工医院		
河南省	漯河市	离退休职工医院	
山东省	东营市	河口健民医院	
石阡新华医院			
云南省	红河哈尼族彝族自治州	弥勒市	县东风医院
河南省	洛阳市	神州医院	
吉林省	黄泥河林业有限公司职工医院		
黑龙江省	绥化市	海伦市	中医院
云南省	昆明市	夕阳红老年病医院	
河南省	焦作市	舞阳县	博爱医院
广西壮族自治区	柳州市	医学高等专科学校第一附属医院	
福建省	龙岩市	永定区	中医院
湖南省	长沙市	长峰医院	
湖南省	郴州市	资兴市	矿业集团公司总医院
湖南省	株洲市	宏德医院	
贵州省	贵阳市	南明区	人民医院
河南省	鹤煤(集团)公司八矿医院		
辽宁省	沈阳市	曙光泌尿病医院	
汉江水利水电(集团)责任公司汉江医院			
湖北省	航运职工医院		
山东省	济南市	平阴县	第二人民医院
山东省	烟台市	莱山区	第一人民医院
国营202厂职工医院			
吉林省	吉林市	吉化集团公司总院二院	
黑龙江省	鸡西市	虎林市	红十字会医院
四川省	资阳市	川中医院	
河北省	石家庄市	第九医院	
黑龙江省	大庆市	林甸县	人民医院
山东省	济宁市	梁山县	中医医院
新疆维吾尔自治区	伊犁哈萨克自治州	尼勒克县	明奎中医医院
浙江省	宁波市	普陀山佛教协会普济医院	
中国人民解放军5719厂职工医院			
江西省	赣州市	会昌县	人民医院
陕西省	西安市	北车医院	
广东省	深圳市	福田区	福华中西医结合医院
吉林省	吉林市	桦甸市	第2人民医院
河北省	保定市	恒兴中西医结合医院	
陕西省	咸阳市	中铁一局集团咸阳中心医院	
农六师一零一团医院			
四川省	绵阳市	江油市	同仁糖尿病专科医院
吉林省	白山市	江源区	医院
重庆市	重庆市	荣昌区	中医院
宁夏回族自治区	东方市	有色金属集团有限公司职工医院	
内蒙古自治区	鄂尔多斯市	鄂托克前旗	蒙医医院
黑龙江省	佳木斯市	同江市	中医医院
湖南省	永州市	蓝山县	中心医院
湖南省	常德市	鼎城人民医院	
福建省	泉州市	晋江市	中医院
山东省	潍坊市	高新友谊医院	
江西省	宜春市	宜丰县	中医院
江西省	萍乡市	人民医院	
广西壮族自治区	北海市	中医医院	
四川省	成都市	成实医院	
湖北省	襄阳市	第四人民医院	
湖北省	襄阳市	襄樊市襄阳五洲医院	
河北省	沧州市	东光县	人民医院
内蒙古自治区	鄂尔多斯市	伊金霍洛旗	人民医院
镇海人民医院			
福建省	泉州市	中医医院	
浙江省	杭州市	萧山泰和医院	
河北省	邯郸市	明仁医院	
江西省	南昌市	进贤县	人民医院
四川省	达州市	大竹县	人民医院
广东省	肇庆市	德庆县	人民医院
广东省	湛江市	赤坎区	中医医院
江苏省	无锡市	江阴市	利港医院
湖南省	岳阳市	3517工厂职工医院	
浙江省	台州市	路桥区	第3人民医院
福建省	三明市	沙县	中医医院
江西省	宜春市	奉新县	人民医院
中国人民解放军92538部队海兴医院			
内蒙古自治区	赤峰市	学院附属医院红山院区	
江西省	九江市	德安县	人民医院
浙江省	绍兴市	越城区	东浦医院
重庆市	重庆市	涪陵博爱医院	
贵州省	贵阳市	花溪区	中医医院
广西壮族自治区	钦州市	灵山县	中医医院
浙江省	温州市	瑞安市	塘下人民医院
重庆市	重庆市	云阳县	区云阳县云阳县中医院
新疆维吾尔自治区	喀什地区	叶城县	维吾尔医医院
浙江省	宁波市	宁海县	第一医院
辽宁省	沈阳市	康平县	监狱医院
陕西省	西安市	西郊纺织医院	
广东省	南海狮山华立医院		
河南省	焦作市	中国人民解放军联勤保障部队第九八八医院91焦作院区	
北京市	北京市	丰台广济中西医结合医院	
湖北省	荆门市	钟祥市	人民医院
北京市	北京市	大兴区	老年病综合医院
湖南省	衡阳市	衡阳县	人民医院
湖南省	郴州市	嘉禾县	中医医院
江西省	宜春市	铜鼓县	人民医院
四川省	德阳市	旌阳区	中医医院
河北省	张家口市	轻工业局职工医院	
江西省	抚州市	临川区	第一人民医院
河北省	承德市	隆化县	医院
广东省	广州市	南沙区	鱼窝头医院
河北省	衡水市	第二中医医院	
重庆市	重庆市	涪陵区	建峰医院
重庆市	重庆市	西南师范大学医院	
重庆市	重庆市	南县	潼南县中医院
恒博集团川矿医院			
河北省	栾城县医院		
内蒙古自治区	巴彦淖尔市	乌拉特中旗	人民医院
湖南省	长沙市	第一医院（分院）	
江苏省	苏州市	张家港市	凤凰医院
浙江省	绍兴市	斗门人民医院	
中国人民解放军联勤保障部队第九九零中心医院			
山东省	济宁市	樱花医院	
北京市	北京市	京煤集团木城涧煤矿医院	
吉林省	长春市	东区	中医医院东区
河南省	南阳市	桐柏县	中医院
河南省	商丘市	夏邑县	人民医院
冀中能源峰峰集团总医院			
河北省	秦皇岛市	青龙满族自治县	医院
云南省	昭通市	中医医院	
云南省	玉溪市	易门县	人民医院
福建省	厦门市	医学院附属第二医院	
福建省	莆田市	仙游县	医院
福建省	莆田市	秀屿区	医院
江西省	宜春市	人民医院	
山东省	医学高等专科学校附属医院		
重庆市	重庆市	九龙坡区	第二人民医院
重庆市	重庆市	石油医院	
浙江省	杭州市	上城区	红十字会医院
浙江省	杭州市	下城区	人民医院
山东省	济南市	机车医院	
陆军军医大学第一附属医院			
山东省	日照市	莒县	人民医院城阳分院
中国人民解放军452医院			
山东省	淄博市	圣洁医院	
四川省	达州市	宣汉县	人民医院
山东省	青岛市	李沧区	中心医院
山东省	淄博市	淄川区	医院
四川省	成都市	南光机器有限公司医院	
四川省	成都市	城东医院	
四川省	成都市	沙河市	堡医院
黑龙江省	方正林业局职工医院		
中国人民解放军第五三三医院			
山东省	烟台市	凤凰台医院	
中国人民解放军第九六〇医院			
南华大学附属第一医院			
山东省	潍坊市	青州市	市立医院
四川省	西南交通大学医院		
四川省	成都市	青白江区	人民医院
四川省	成都市	青羊区	成航医院
云南省	昆明市	经开区人民医院	
湖南省	株洲市	醴陵市	中医院
河北省	秦皇岛市	抚宁区	中医医院
陕西省	西安市	交通大学校医院	
吉林省	吉林市	大学中日联谊医院二部	
福建省	三明市	永安市	立医院
广西壮族自治区	钦州市	浦北县	人民医院
山东省	德州市	陵城区	中医院
山东省	德州市	武城县	中医院
山东省	德州市	陵城区	人民医院
河北省	张家口市	怀来同济医院	
黑龙江省	鹤岗市	鹤矿医院有限公司	
云南省	泉州市	南安市	国营云南安宁化工厂职工医院
黑龙江省	佳木斯市	中医医院	
陕西省	中医药大学附属医院		
黑龙江省	牡丹江市	绥芬河市	人民医院
黑龙江省	绥化市	中医医院	
陕西省	榆林市	神木市	第二人民医院
甘肃省	中医药大学附属医院		
甘肃省	武威市	地区人民医院	
河南省	科技大学第三附属医院		
江苏省	南京市	新协和医院	
新疆维吾尔自治区	冶金建设公司职工医院		
新疆维吾尔自治区	医科大学医学院第六附属医院		
山东省	烟台市	牟平区	黄金医院
浙江省	温州市	永嘉县	第二人民医院
河南省	焦作市	第五人民医院	
中国长江航运集团青山船厂职工医院			
江苏省	南京市	宁十四所职工医院	
高淳县中医院			
高淳古柏医院			
新疆维吾尔自治区	乌鲁木齐市	友谊医院青年路医院	
新疆维吾尔自治区	克拉玛依市	中心医院	
新疆维吾尔自治区	哈密市	地区哈密地区安心医院	
浙江省	湖州市	南浔区	镇中西医结合医院
浙江省	上虞市人民医院		
浙江省	绍兴市	咸亨医院	
湖北省	武汉市	第三医院光谷院区	
新疆维吾尔自治区	生产建设兵团农一师医院		
浙江省	台州市	黄岩区	中医院
浙江省	杭州市	云和县	中医院
湖北省	鄂州市	二医院	
湖北省	孝感市	中医医院	
江苏省	徐州市	财贸职工医院	
江苏省	常州市	金坛区	人民医院
新疆维吾尔自治区	伊犁哈萨克自治州	伊宁县	中医医院
新疆维吾尔自治区	伊犁哈萨克自治州	昭苏县	中医医院
新疆维吾尔自治区	阿勒泰地区	阿勒泰市	解放军第16医院
新疆维吾尔自治区	博尔塔拉蒙古自治州	精河县	博尔塔拉蒙古自治州精河县人民医院
石河子市	农8师石河子市总场医院		
安徽省	合肥市	江淮汽车有限公司医院	
安徽省	芜湖市	芜湖县	中医医院
广东省	广州市	番禺区	化龙医院
广东省	广州市	老人院医院	
江苏省	苏州市	张家港市	澳洋顺济医院有限公司
苏大附一院平江医院			
安徽省	蚌埠市	滤清器有限公司医院	
安徽省	黄山市	歙县	中医医院
广东省	广州市	仁爱医院	
贵州省	遵义市	医学院第五附属(珠海)医院	
江苏省	苏州市	北区	立医院(北区)
安徽省	亳州市	蒙城县	第二人民医院
广东省	江门市	开平市	中心医院
江苏省	南通市	医学院附属医院分院	
安徽省	宣城市	泾县	人民医院
福建省	中医药大学附属人民医院		
大丰市第三人民医院			
江苏省	扬州市	江都人民医院	
河北省	石家庄市	医学高等专科学校白求恩医院	
浙江省	绍兴市	兴城市	城东医院有限公司
浙江省	杭州市	橡树老年病医院	
山西省	大同市	煤矿集团有限责任公司化工厂职工医院	
江苏省	苏州市	昆山市	金陵医院
四川省	阿坝藏族羌族自治州	马尔康市	县中藏医院
新疆维吾尔自治区	乌鲁木齐市	达坂城区	人民医院
浙江省	绍兴市	上虞区	百信医院
广西壮族自治区	南宁市	博大医院	
湖南省	郴州市	桂阳县	宝山医院
河南省	南阳市	淅川县	中医院
中国兵器工业第二0四研究所职工医院			
湖北省	五三农场职工医院		
浙江省	体育职业技术学院附属体育医院		
山东省	鲁中监狱医院		
四川省	泸州市	江阳区	南城凤凰山社区卫生服务站；泸州酒城全科医院
云南省	红河哈尼族彝族自治州	蒙自市	人民医院
天津市	天津市	南开华山医院	
湖北省	武汉市	江岸区	人民医院武汉市第八医院南院
山西省	阳泉市	桃河医院	
兵团农十四师一牧场职工医院			
浙江省	金华市	金东区	第二人民医院
河南省	平顶山市	煤业集团公司高庄矿职工医院	
皮山新光医院			
黑龙江省	伊春市	铁力市	农场职工医院
北京市	北京市	京师中医医院	
河南省	南阳市	镇平县	公疗医院
江苏省	盐城市	正大医院	
山东省	泰山钢铁集团有限公司泰山医院		
贵州省	百灵中医糖尿病医院		
天津市	天津市	津市市	河西监狱医院
河南省	郑州市	登封市	民生医院
湖北省	武汉市	曙光中西医结合医院	
海南省	南通市	海安市	医院
广东省	揭阳市	普宁市	康美医院
黑龙江省	绥化市	安达市	德贤医院
青海省	西宁市	海湖糖尿病医院	
上海市	上海市	同德医院	
福建省	厦门市	集美区	灌口医院
湖北省	孝感市	大悟县	中医医院
北京市	北京市	兆维电子集团有限责任公司职工医院	
江苏省	南京市	科大医院	
上海市	上海市	送子宝医院	
广东省	深圳市	罗湖区	人民医院老年病分院
湖南省	常德市	汉寿县	第二人民医院
山东省	青岛市	城阳棘洪滩矫秀菊医院	
新疆维吾尔自治区	生产建设兵团农7师124团医院		
北京市	北京市	统计学会国泰医院	
四川省	成都市	崇州市	崇仁医院
山东省	菏泽市	定陶友和医院	
河北省	唐山市	唐钢医院	
湖南省	岳阳市	君山区	区二人民医院
黑龙江省	鹤岗市	鹤矿医院有限公司峻德分院	
四川省	成都市	彭州市	丰乐医院
湖北省	武汉市	阿波罗医院	
山东省	潍坊市	寒亭海龙医院	
中国电子科技集团公司第二十九所职工医院			
辽宁省	锦州市	古塔区	中医医院
福建省	福州市	仓山荣益医院	
天津市	天津市	仁爱医院	
山东省	青岛市	莱西市	培国医院
浙江省	舟山市	定海广华医院有限责任公司	
福建省	莆田市	涵江区	华侨医院
山东省	烟台市	莱山区	第三人民医院
江苏省	苏州市	昆山市	第一人民医院广仁分院
辽宁省	沈阳市	东北制药集团公司供销公司沈阳市博爱专科医院	
辽宁省	沈阳市	大东区	望花医院
山东省	潍坊市	昌乐县	昌盛医院
湖北省	荆州市	洪湖市	中医医院
甘肃省	定西市	临洮县	人民医院
宁夏回族自治区	吴忠市	同心县	人民医院
辽宁省	朝阳市	天龙朝重医院	
辽宁省	盘锦市	人民医院	
浙江省	嘉兴市	秀洲区	康安医院
广东省	江门市	江海区	人民医院
浙江省	宁波市	江北康养医院	
山东省	枣庄市	山亭万康医院	
山东省	东营市	东营区	人民医院新区医院
云南省	丽江市	九洲医院	
广西壮族自治区	南宁市	津头医院	
山东省	聊城市	临清市	华康医院
吉林省	松原市	长岭县	宏光医院
湖南省	益阳市	南县	第三人民医院
湖北省	荆门市	沙洋县	第二人民医院
甘肃省	张掖市	山丹县	中医院
辽宁省	丹东市	第二轻工业局职工医院	
广东省	汕尾市	海丰县	梅陇农场职工医院
山东省	济宁市	泗水县	商业职工医院
山东省	烟台市	海阳市	阳光医院
山东省	淄博市	创大实业有限公司职工医院	
江西省	上饶市	婺源县	中医院
黑龙江省	农垦总局曙光农场职工医院		
贵州省	黔东南苗族侗族自治州	榕江县	黔东南苗族侗族自治州榕江县人民医院
河北省	邢台市	邱县	内邱县中医院
河北省	邢台市	新河县	人民医院
云南省	路桥三公司职工医院		
河南省	洛阳市	机车医院	
山东省	潍坊市	诸城市	东坡医院
湖南省	衡阳市	第一六九医院198临床部	
陕西省	宝鸡市	博爱医院	
安徽省	淮北市	矿工总医院集团袁庄分院	
云南省	大理白族自治州	大理市	解放军第六十医院
四川省	雅安市	荥经荥兴医院	
辽宁省	阜新市	老年医院	
山东省	菏泽市	鄄城县	第二人民医院
山东省	聊城市	阳谷县	卫校医院
吉林省	长春市	农安合隆经济开发区世济医院	
湖北省	孝感市	安陆市	中医医院
山东省	临沂市	同德中医医院	
山东省	烟台市	京城医院	
山东省	泰安市	建工医院	
山西省	临汾市	泽华医院	
湖北省	孝感市	应城市	膏都医院
江苏省	宿迁市	泗洪县	城南医院
四川省	中西医结合医院		
湖北省	职业技术学院附属惠济医院		
辽宁省	铁岭市	昌图县	中心医院
广东省	珠海市	香洲区	第二人民医院
江苏省	南京市	港江北医院	
山东省	淄博市	博山双馨医院	
云南省	老干部医院		
陕西省	西安市	莲湖天颐堂中医医院	
湖南省	监狱管理局112医院		
江苏省	无锡市	锡钢集团有限公司职工医院	
江苏省	徐州市	矿务集团有限公司张集煤矿医院	
新疆维吾尔自治区	吐鲁番市	佳音医院吐鲁番分院	
安徽省	九城监狱管理分局医院		
浙江省	宁波市	鄞州区	中西医结合医院
广东省	广州市	暨华医院	
江苏省	南通市	通州区	第七人民医院
黑龙江省	农垦总局北兴农场职工医院		
贵州省	贵阳市	华烽职工医院	
黑龙江省	哈尔滨市	顺迈医院	
浙江省	丽水市	龙泉市	伏龙泉县医院
福建省	福州市	经济技术开发区医院	
中国人民解放军九二九一九部队医院			
浙江省	宁波市	慈溪市	明峰医院
云南省	曲靖市	师宗县	中医医院
河南省	平顶山市	叶县	中医院
四川省	成都市	世博医院有限公司	
新疆维吾尔自治区	生产建设兵团农二师34团医院		
湖北省	宜昌市	远安县	中医医院
